song,notes
georgia_on_my_mind_tdc,3 5 3 2 3 6 5 3 2 1 1 2 3 5 6 1 2 1 3 3 3 3 3 3 6 5 5 6 3 2 3 6 5 3 2 1 6 1 2 1 2 3 5 6 6 3 1 1 1 1 2 6 1 2 2 3 1 6 1 6 1 2 3 5 3 4 6 1 2 3 5 6 6 7 6 7 3 5 3 5 b3 b3 2 3 3 6 5 5 3 3 3 2 3 6 5 3 2 1 6 1 b3 1 1 3 5 6 6 b3 1 2 1 1 1 1 6 1 2 2 3 1 6 1 6 1 2 3 5 3 4 6 1 2 3 5 6 7 6 7 5 3 5 b3 b3 2 3 2 3 2 1 3 3 2 2 3 3 3 2 6 6 3 2 1 2 1 b3 1 2 3 5 5 6 6 3 1 2 1 3 3 3 3 6 3 3 3 1 3 3 3 2 1 6 1 3 6 5 6 3 1 b3 3 2 1 6
ive_been_loving_you_too_long_tdc,2 3 3 2 1 3 2 3 2 1 7 7 2 2 1 2 5 6 1 6 5 3 5 5 6 5 5 6 3 6 6 5 5 5 6 2 1 1 6 1 6 1 1 b3 2 1 2 1 4 b3 5 3 2 3 2 3 2 3 2 3 3 2 1 5 3 2 1 7 5 6 1 1 2 2 1 b3 2 1 1 1 2 1 3 2 3 2 3 2 3 3 5 2 3 2 2 2 1 7 1 3 2 1 2 1 6 5 4 3 2 3 5 6 1 5 3 5 6 5 5 6 3 2 1 2 3 6 5 6 5 3 5 6 5 6 2 1 1 6 1 1 b3 2 1 1 b3 2 1 2 1 4 b3 6 1 2 3 3 2 3 2 3 2 3 2 1 5 3 2 3 2 7 7 2 1 2 1 b3 2 1 b3 2 7 1 7 1 2 2 3 3 2 3 2 3 3 2 1 3 5 3 2 3 2 1 7 3 5 5 3 3 1 2 1 b3 2 1 b3 2 1 5 4 b3 3 3 2 3 2 3 b3 2 1 b3 1 1 5 5 4 4 3 2 3 2 3 5 b7 5 5 b7 5 5 b7 3 2 1 b7 b6 1 b7 5
back_in_black_dt,1 1 1 7 7 7 7 7 7 7 1 5 4 3 5 4 3 4 3 7 7 7 7 7 5 5 5 7 5 4 5 5 5 7 7 7 5 7 5 3 4 3 5 3 5 5 5 5 5 5 7 7 7 1 1 1 1 7 7 5 5 5 5 5 5 5 5 7 7 5 5 7 5 7 5 7 5 1 1 5 5 5 7 7 7 5 4 5 7 5 7 4 5 7 5 7 7 7 7 7 7 7 2 7 7 2 2 1 1 1 4 3 4 3 5 4 3 4 4 3 4 5 4 3 5 5 3 1 1 1 1 1 5 5 5 5 5 5 5 5 5 5 7 5 5 5 5 5 1 7 7 1 1 1 3 4 5 5 3 4 3 4 3 4 3 4 3 5 5 5 5 1 1 7 1 5 4 4 3 5 3 5 1 1 1 7 1 7 1 3 1 1 1 5 7 5 7 7 7 7 7 7 5 1 1 1 1 1 4 5 7 5 7 4 5 7 5 7 7 7 7 7 7 7 2 7 7 1 5 7 7 7 5 7 7 7 7 7 7 1 1 1 7 7 5 4 5 7 5 7 4 5 7 5 7 7 7 7 7 2 2 2 2 2 7 1 1 4 5 7 5 7 4 5 7 5 3 1 1 1 3 1 1 1 4 5 7 5 7 4 5 7 5 7 7 7 2 2 2 2 b2 1 6
summertime_blues_tdc,1 1 1 1 6 5 3 5 5 5 5 3 2 1 5 6 5 1 1 1 b7 6 5 3 4 4 5 5 2 1 4 4 4 4 4 b3 4 1 7 7 1 1 7 1 2 5 b3 2 1 1 1 1 1 1 4 4 2 4 1 b3 1 1 1 1 5 5 6 1 1 b7 6 5 1 2 4 b3 1 b3 2 4 4 1 4 5 6 5 1 1 1 1 b7 6 5 3 5 5 5 5 b3 2 1 5 6 5 1 1 1 1 b7 6 5 3 5 5 5 2 1 4 4 4 4 4 4 2 4 4 4 7 1 7 1 3 2 3 2 2 1 1 1 1 1 1 1 1 2 4 2 4 1 4 1 1 1 1 5 5 6 1 1 b7 6 5 1 2 4 b3 1 b3 2 4 4 1 4 5 6 5 1 1 b7 6 5 3 5 5 5 6 3 2 1 5 6 5 1 1 b7 6 5 3 5 5 6 2 1 4 4 4 4 4 4 4 4 6 1 7 3 2 3 1 1 1 1 1 1 1 1 4 4 2 4 1 4 1 1 1 1 5 5 6 1 1 b7 6 5 1 2 4 b3 1 b3 2 4 4 1 9
honky_tonk_women_tdc,3 1 1 1 b3 3 b3 1 1 b7 b7 1 1 b3 2 1 b3 2 1 b3 2 1 1 1 2 1 3 1 1 1 b3 2 1 1 b7 1 1 1 1 5 b3 1 5 1 1 3 2 1 5 5 1 b7 5 4 5 6 b3 3 1 1 1 5 5 5 5 3 5 6 b3 2 1 1 3 1 1 1 b3 2 1 1 b7 1 1 3 5 b3 2 1 b3 2 1 1 2 1 3 1 1 1 b3 2 1 1 b7 1 1 b7 b7 b3 1 5 2 b3 b3 2 1 5 5 1 b7 5 4 5 6 b3 3 1 1 1 5 5 5 5 3 5 6 b3 2 1 1 6 5 5 1 b7 5 4 5 6 b3 3 1 1 1 5 5 5 5 3 5 6 b3 2 1 5 5 1 b7 5 4 5 6 b3 3 1 1 1 5 5 5 5 3 5 6 b3 2 1
jailhouse_rock_tdc,b3 b3 b3 b3 b3 b3 1 6 1 1 6 5 2 2 b3 b3 b3 1 6 1 1 6 5 b3 b3 b3 b3 b3 b3 1 6 1 6 b3 1 b3 b3 b3 b3 b3 b3 b3 b3 b3 b3 1 b3 b3 b3 1 b3 1 6 b3 b3 b3 b3 b3 2 2 b3 b3 b3 b3 6 6 1 1 1 b3 b3 b3 b3 b3 b3 1 6 1 6 b3 3 b3 b3 b3 b3 b3 b3 1 6 1 1 6 2 2 b3 b3 b3 b3 1 b7 1 1 b3 3 6 b3 b3 b3 b3 b3 b3 b3 b3 b3 b3 b3 1 1 b3 b3 1 b3 1 b3 b3 b3 b3 b3 b3 2 2 b3 2 b3 b3 1 6 1 1 1 b3 b3 b3 b3 b3 3 1 6 1 6 b3 5 b3 b3 b3 b3 b3 1 b7 1 1 1 6 5 2 b3 b3 b3 b3 b3 1 b7 1 6 b3 b3 b3 b3 b3 b3 b3 b3 b3 b3 b3 b3 1 2 b3 b3 1 b3 1 6 b3 b3 b3 b3 2 2 2 2 2 b3 b3 b3 1 6 1 1 1 8 b3 b3 1 b3 3 1 6 1 6 b3 3 1 b3 b3 b3 b3 b3 3 1 b7 1 1 6 5 b3 b3 b3 b3 b3 3 1 6 1 6 b3 3 1 b3 b3 b3 b3 b3 b3 b3 b3 b3 b3 b3 1 6 b3 b3 b3 3 1 3 1 6 5 b3 b3 b3 b3 2 2 2 2 b3 b3 b3 b3 1 6 1 1 1 b3 b3 b3 b3 b3 b3 1 b7 1 6 b3 3 6 b3 b3 b3 b3 b3 b3 1 6 1 1 6 b3 b3 b3 b3 b3 b3 1 6 1 1 2 b3 1 b3 b3 2 2 b3 b3 b3 b3 b3 b3 b3 b3 1 b3 b3 b3 1 b3 1 6 5 b3 b3 b3 b3 2 2 2 2 b3 b3 b3 b3 1 6 1 1 1 b3 b3 1 6 1 1 1 b3 b3 1 6 1 1 1 b3 b3 1 6 1 1 1 b3 b3 1 6 1 1 1 b3 b3 1 6 1 1 1
i_cant_stop_loving_you_tdc,1 6 6 4 4 5 6 5 1 3 6 5 4 2 7 6 5 2 3 1 2 3 2 3 3 3 2 1 6 6 4 4 5 6 5 6 1 3 6 5 4 2 7 6 5 5 7 4 5 3 2 2 1 4 5 3 2 1 3 1 6 5 4 4 6 1 6 1 6 1 6 5 6 3 6 5 3 3 2 5 3 2 1 1 3 2 3 1 2 1 4 5 6 1 1 2 1 2 3 2 1 6 5 5 5 7 2 1 2 3 3 3 2 1 6 6 4 4 5 6 5 6 1 3 6 5 4 2 7 6 5 2 3 1 2 3 2 3 3 3 2 1 6 6 4 4 5 6 5 6 1 3 6 5 4 2 7 6 5 5 7 4 5 3 2 2 1 5 3 2 1 3 5 3 2 1 3 1 1 6 5 1 1 2 1 4 6 1 1 1 1 6 5 1 6 1 6 1 6 5 6 5 3 2 6 5 b7 7 7 6 6 5 5 3 2 1 3 5 6 5 3 2 1 1 3 2 3 1 2 1 5 6 1 2 1 4 6 1 1 1 1 3 1 1 6 6 5 5 5 7 2 2 1 1 1 1 1 1 2 3 3 3 2 1 6 6 6 6 6 6 6 6 5 6 1 3 6 5 4 2 7 6 5 2 3 1 2 3 2 3 3 3 2 1 6 6 4 4 5 6 5 6 1 3 6 5 4 2 7 6 5 5 7 4 5 3 2 2 1 5 6 1 1
i_heard_it_through_the_grapevine_dt,5 4 4 3 1 3 1 3 1 1 1 1 2 1 2 6 1 7 1 1 1 1 1 3 1 1 5 5 5 7 1 2 2 1 2 1 2 6 1 7 1 7 1 6 6 3 2 3 2 1 2 6 1 3 4 3 1 1 5 4 3 4 1 3 3 3 1 3 1 3 4 4 4 3 1 3 1 1 4 4 3 1 1 7 1 1 5 4 4 3 4 3 5 4 3 1 3 1 1 1 3 1 1 3 3 4 5 5 4 1 3 1 1 1 1 2 1 2 2 6 1 1 1 1 1 1 1 3 1 1 1 1 2 2 2 6 1 6 1 1 6 5 3 2 1 1 2 6 1 3 5 3 1 3 3 1 5 4 1 3 1 1 3 1 3 1 3 4 4 4 3 2 2 1 5 4 5 4 4 3 1 3 1 3 4 4 3 4 3 5 4 3 1 3 1 1 1 3 1 1 1 3 3 1 1 3 4 3 5 4 1 3 1 1 1 1 2 1 2 6 1 7 1 1 1 3 1 3 1 1 2 2 3 6 1 6 1 3 5 6 6 3 2 1 2 6 1 1 1 3 4 3 1 1 1 4 4 3 4 4 3 1 3 3 1 3 1 3 4 5 4 3 4 4 1 4 3 3 3 1 1 1 7 1 1 5 5 4 3 4 3 5 4 3 1 3 1 1 1 3 1 1 1 3 1 1 3 4 3 5 1 1 3 4 3 1 3 4 3 1 3 1 3 1 5 4 4 3 1 1 3 1 3 1 5 7 7
brown_eyed_girl_dt,5 4 3 4 5 3 2 1 2 3 5 5 5 5 4 5 3 3 1 2 3 3 5 5 5 5 4 5 4 5 3 3 2 1 2 2 5 5 5 5 5 4 5 4 3 5 2 2 3 3 2 2 1 5 3 3 2 1 1 6 5 3 3 2 1 1 5 4 3 4 5 5 3 2 1 2 3 5 5 5 5 5 4 5 4 4 3 3 1 2 2 3 3 5 5 5 5 4 5 4 3 3 3 1 2 2 3 5 5 5 5 5 4 3 3 3 5 2 2 3 3 2 1 5 3 3 2 1 1 6 5 3 3 2 1 2 2 3 4 3 5 4 3 2 1 5 5 5 6 4 5 4 4 3 2 3 1 2 5 5 5 6 4 5 4 4 3 2 3 1 2 3 3 2 1 8 b7 6 5 6 6 6 6 5 5 5 5 5 5 3 5 5 5 4 5 5 6 3 1 2 2 3 3 5 5 5 5 4 5 3 3 1 2 2 2 3 2 2 1 5 5 5 5 5 5 4 5 3 3 1 2 2 3 3 2 1 7 3 3 3 1 6 5 3 3 2 1 2 2 3 4 3 5 4 3 2 1 5 5 5 6 4 5 4 4 3 2 3 1 2 5 5 5 6 4 5 4 4 3 2 3 1 2 5 5 5 6 4 5 4 4 3 2 3 1 2
losing_my_religion_dt,2 1 1 2 1 7 2 2 7 2 7 3 2 2 1 5 3 3 3 3 2 7 7 2 2 3 2 1 2 2 2 3 2 1 1 1 2 7 3 3 3 2 2 1 3 3 3 1 2 2 3 3 3 2 2 1 3 3 1 2 2 2 3 2 2 1 7 1 7 2 1 2 2 2 3 2 1 1 1 1 1 2 7 7 3 3 1 3 2 2 1 1 3 3 1 3 2 1 3 3 3 3 3 3 2 1 3 3 2 2 1 3 3 3 3 2 7 2 3 3 3 2 2 1 3 3 1 2 2 2 2 2 3 2 2 1 7 1 7 1 1 2 2 2 3 2 1 1 1 2 7 7 3 2 1 5 3 3 3 3 2 2 7 2 7 2 7 3 2 1 5 1 5 2 2 2 2 2 3 2 1 1 1 1 2 1 1 1 2 2 7 2 3 2 1 2 7 7 3 3 1 3 2 2 1 1 3 3 1 3 2 1 3 3 3 3 3 3 2 1 4 3 3 3 1 3 3 3 3 3 3 3 3 3 2 2 1 3 3 3 1 2 2 3 3 3 2 2 1 3 3 1 2 2 2 3 2 2 1 7 1 7 2 1 2 2 2 3 2 1 1 1 1 1 2 7 7 3 3 1 3 2 2 1 6 3 3 1 3 2 1 3 3 3 3 3 3 2 1 1 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 1 1 3 1 7 7 9
