song,notes
will_you_love_me_tomorrow_dt,1 1 2 2 1 3 3 2 1 1 2 2 1 6 6 5 4 3 7 3 2 2 1 7 2 1 6 1 1 3 3 2 2 2 1 1 1 1 2 2 1 3 2 2 1 1 2 2 1 6 5 5 4 3 7 3 2 2 1 7 2 1 6 1 1 3 3 2 2 2 1 1 6 6 6 6 6 6 5 5 6 6 6 5 6 6 5 4 3 2 1 6 5 6 6 6 6 6 6 5 5 3 2 2 1 3 3 2 6 6 5 6 5 1 1 2 2 1 3 3 2 2 1 1 2 2 1 6 6 5 5 4 3 7 3 2 2 1 7 2 1 6 1 1 3 3 2 2 2 1 1 7 4 3 7 3 2 2 1 7 2 1 6 1 1 3 3 2 2 2 1 1 1 1 3 3 2 2 2 1 1 1 1 3 3 2 2 2 1 1
hound_dog_tdc,1 1 b7 3 5 6 1 1 b3 2 b3 2 b3 2 b3 1 1 6 3 5 6 1 1 b3 b3 b3 2 2 2 2 2 2 2 2 b3 2 2 1 1 b3 b3 b3 b3 b3 b3 b3 3 2 b3 1 1 1 1 b3 b3 b3 b3 b3 b3 b3 b3 b3 1 1 1 1 b3 b3 b3 2 2 2 2 2 1 2 1 b3 2 2 1 1 b3 b3 b3 b3 b3 b3 1 1 b7 b3 5 6 1 1 b3 2 b3 2 b3 2 b3 1 1 6 b3 5 6 1 1 b3 b3 b3 2 2 2 2 2 1 2 1 b3 2 2 1 1 1 3 b3 b3 2 2 b3 b3 b3 b3 2 1 1 1 1 b3 b3 b3 b3 b3 b3 b3 b3 b3 1 1 1 1 b3 b3 b3 2 2 2 2 2 2 2 2 b3 2 2 1 1 1 3 b3 b3 b3 b3 b3 2 3 b3 b3 1 1 1 1 b3 2 b3 2 b3 2 b3 b3 b3 b3 1 1 1 1 2 2 b3 2 2 2 2 2 5 5 1 b3 1 2 2 1 1 b3 b3 b3 b3 b3 b3 1 1 b7 b3 5 6 1 1 b3 2 b3 2 b3 2 b3 1 1 6 b3 5 6 1 1 2 2 b3 2 2 2 2 5 2 b3 2 2 1 1 2
i_believe_i_can_fly_dt,5 5 1 1 2 2 3 3 1 2 1 2 5 5 1 1 2 2 3 3 1 2 1 2 5 5 1 1 2 2 3 3 1 2 3 2 1 2 1 6 5 5 1 1 2 2 3 3 1 2 b3 2 1 3 3 1 2 3 1 1 7 6 1 6 1 2 3 2 1 1 7 6 6 5 1 2 3 4 3 2 1 6 5 3 3 3 2 1 1 3 3 3 2 1 2 1 1 5 3 3 3 3 3 3 3 4 4 3 3 3 3 3 2 2 3 3 3 3 2 2 1 1 5 3 3 3 2 2 1 2 1 1 2 4 3 3 3 2 1 1 3 3 3 2 1 2 2 2 2 1 7 1 7 6 5 5 1 1 2 2 3 3 1 2 1 2 3 2 1 b6 5 1 1 2 2 3 3 2 1 2 1 3 1 2 5 4 3 4 5 1 1 2 2 3 3 2 1 2 1 2 1 5 5 1 1 5 2 2 3 3 2 1 5 b6 5 4 5 4 3 5 6 2 1 1 1 7 7 6 6 1 2 3 2 1 2 3 2 3 1 2 3 4 3 2 1 1 6 5 1 2 3 5 3 2 3 3 3 5 3 2 1 1 3 3 4 3 2 1 2 1 1 5 3 3 3 3 3 3 3 4 4 3 3 3 3 3 2 2 3 3 3 2 1 1 5 3 3 3 2 2 1 2 1 1 2 4 3 3 3 2 1 1 3 3 3 2 1 2 2 2 2 1 7 1 7 6 1 1 1 2 3 4 3 1 5 4 3 5 1 2 1 2 b2 b2 1 1 3 3 3 2 1 2 1 1 5 3 3 3 3 3 3 3 4 4 3 3 3 3 3 2 2 3 3 3 5 3 2 1 1 5 3 3 3 2 2 1 2 1 1 2 4 3 3 5 2 1 1 6 5 5 3 3 2 1 2 1 b6 3 3 3 1 2 1 6 5 3 1 2 3 3 4 3 2 1 2 1 5 3 3 5 3 2 3 5 3 3 5 1 2 3 5 5 5 b6 5 4 5 4 5 3 3 2 1 2 3 2 1 2 3 2 1 2 3 2 1 2 3 2 1 2 3 2 1 2 3 2 1 2 3 2 1 2 3 2 1 2 1 3
house_of_the_rising_sun_dt,1 1 2 3 5 4 1 1 1 1 1 7 5 5 1 1 1 2 3 3 3 4 1 1 1 1 7 1 1 7 7 1 6 1 1 1 7 5 4 1 1 1 7 5 5 1 1 1 7 3 4 1 1 3 1 1 7 5 1 1 6 1 1 1 1 7 3 4 1 1 1 1 1 1 1 7 5 5 1 1 1 1 7 3 4 1 1 3 1 1 1 7 5 5 2 1 8 1 4 7 7 1 1 3 4 4 1 1 1 1 1 7 5 5 1 1 7 3 4 1 3 3 1 1 1 1 1 1 7 5 2 1 7 1 1 1 1 1 7 b3 4 1 1 1 1 1 7 4 5 1 1 1 7 3 4 4 1 1 1 1 1 7 5 2 1 7 1 1 1 1 7 b3 4 1 1 1 1 1 7 5 5 1 1 1 1 7 b3 4 4 1 1 1 1 7 1 3 2 3 1 5 1 1
whole_lotta_shakin_goin_on_tdc,b3 2 1 3 1 b3 2 1 b3 6 1 1 1 5 6 1 b3 b3 b3 1 b3 1 b3 b3 b3 b3 1 b7 1 2 2 2 b3 b3 1 2 1 b3 6 1 1 1 2 b3 b3 b3 b3 2 1 b3 1 b3 2 b3 6 1 1 1 b3 b7 4 4 4 1 1 b3 1 b3 b3 2 1 b3 1 6 1 5 b3 2 b3 b3 b3 2 1 2 6 1 1 1 1 1 1 1 1 b7 1 b3 1 1 1 1 1 b7 1 b3 1 1 1 1 1 1 b7 b3 6 6 1 1 1 1 1 2 2 b3 b3 b3 1 2 1 b3 6 1 1 1 2 4 4 2 2 b3 b3 b3 b3 b3 2 1 b3 1 b3 b3 2 6 1 1 1 1 1 1 1 1 1 2 b3 2 1 b3 1 5 5 5 1 b3 4 b3 4 2 1 b3 b3 b3 b3 2 b3 1 b3 b3 b3 6 1 1 1 2 6 6 1 1 1 5 5 5 1 b3 b3 1 1 b3 b3 3 4 b3 1 3 3 4 4 5 5 b7 b7 6 5 5 5 1 5 1 b3 1 b3 b3 1 1 1 6 b3 3 b3 b3 1 3 5 5 5 1 6 1 b3 1 b3 b3 1 5 b3 1 6 1 1 5 b3 1 6 1 b3 1 6 5 b3 b3 1 5 2 1 1 6 1 4 4 5 5 4 b3 1 6 b3 1 5 b3 1 b3 b3 b3 2 1
i_fought_the_law_dt,5 5 5 3 5 4 6 5 3 3 2 3 2 3 1 4 3 3 3 2 3 2 3 1 2 4 2 7 4 4 1 5 5 5 3 3 5 4 6 5 3 3 2 3 2 3 1 4 3 3 3 2 3 2 3 1 2 4 2 7 4 4 1 1 1 7 6 6 7 7 1 7 6 5 4 5 5 4 3 4 5 1 1 7 6 7 1 7 7 6 4 3 3 2 3 2 3 1 4 3 3 3 2 3 2 3 1 2 4 2 7 4 4 1 3 9 5 5 5 3 3 5 4 6 5 3 3 2 3 2 3 1 4 3 3 3 2 3 2 3 1 2 4 2 7 4 4 1 5 5 5 4 3 3 5 4 6 5 3 3 2 3 2 3 1 4 3 3 3 2 3 2 3 1 2 4 2 7 4 4 1 1 1 7 6 6 7 7 1 7 6 5 4 5 5 4 3 4 5 1 1 7 6 7 1 7 7 6 4 3 3 2 3 2 3 1 4 3 3 3 2 3 2 3 1 2 4 2 7 4 4 1 3
i_wanna_be_sedated_tdc,5 5 5 5 5 5 5 5 5 6 5 4 3 4 3 3 2 1 2 3 3 3 3 3 3 3 2 3 4 3 2 4 3 3 2 1 2 3 5 5 5 5 5 5 5 5 5 5 6 5 5 5 5 5 5 5 3 5 4 5 6 4 4 5 5 5 5 5 5 4 5 5 5 6 5 1 4 3 1 5 6 5 5 5 5 5 5 5 5 5 5 5 6 5 4 3 4 3 3 2 1 2 3 3 3 3 3 3 3 2 3 4 3 2 4 3 3 2 1 2 3 5 5 5 5 5 5 5 5 5 5 6 5 5 5 5 5 5 5 3 5 4 5 6 4 4 5 5 5 5 5 5 4 5 4 5 6 5 1 4 3 1 5 5 9 5 3 3 3 3 3 3 2 3 4 3 2 4 3 3 2 1 2 3 5 5 5 5 5 5 5 5 5 5 6 5 5 5 5 5 5 5 3 5 4 5 6 5 4 5 5 5 5 5 5 4 5 4 5 6 5 1 4 3 1 5 6 5 5 5 5 5 5 5 5 5 5 5 6 5 4 3 4 3 3 2 1 2 3 3 3 3 3 3 3 2 3 4 3 2 4 3 3 2 1 2 3 5 5 5 5 5 5 5 5 5 5 6 5 5 5 5 5 5 5 3 5 4 5 6 5 4 5 5 5 5 5 5 4 5 5 5 6 5 1 4 3 1 5 5 1 1 1 1 4 4 4 4 5 5 5 5 2 2 3 1 1 1 1 4 4 4 4 5 5 5 5 2 2 3 1 1 1 1 1 4 4 4 4 5 5 5 5 2 2 3 1 1 1 1 1 4 4 4 4 5 5 5 5 2 2 3
bohemian_rhapsody_tdc,3 3 3 3 3 7 7 1 1 2 5 3 3 3 3 2 3 2 3 2 2 3 2 1 6 3 4 5 1 1 7 6 6 7 1 1 7 6 6 7 3 2 3 1 2 3 3 3 3 4 5 4 3 2 2 3 4 5 4 3 2 3 2 3 3 5 7 6 6 6 1 1 1 1 1 6 4 3 2 2 4 3 3 2 3 5 2 3 1 5 5 b6 b7 b6 b7 5 5 2 4 4 4 3 2 3 1 2 3 3 3 4 5 4 3 2 2 3 4 5 4 3 3 2 3 2 3 2 1 2 3 5 7 6 6 5 6 1 1 1 1 1 6 4 3 2 2 3 7 2 4 3 3 2 2 3 3 4 4 3 3 2 5 5 1 5 5 1 5 5 4 4 5 6 5 5 5 5 5 6 6 b7 b7 b7 b7 7 7 1 5 5 b6 5 1 1 b2 1 5 5 b6 5 1 1 b2 1 5 5 b6 5 4 b3 2 4 2 b2 b2 b2 1 1 1 1 1 1 6 6 1 5 5 5 4 4 4 5 b6 b6 5 4 4 5 b6 b6 5 5 4 5 1 5 1 2 2 3 4 3 2 1 1 1 5 1 5 2 2 3 4 3 2 1 1 1 5 1 5 2 2 3 4 3 2 1 1 1 2 3 4 3 2 1 1 1 2 3 4 3 5 5 1 1 b7 5 b3 b2 b7 1 1 b3 4 5 7 1 5 5 5 6 5 5 5 6 5 3 3 4 3 2 1 2 5 1 1 1 1 1 7 7 7 7 3 3 4 3 2 3 6 5 4 3 5 4 4 3 3 3 2 2 2 1 1 1 7 1 2 6 8 3 2 2 3 4 4 4 4 3 3 2 2 3 1 1 1 1 2 1 1 1 1 2 1 7 1 5 9 4 3 1 3 5 5 3 2 1 7 5 3 1 2 3 1 b6 3 2 2 1 1 6 7 1 2
the_dock_of_the_bay_dt,6 1 1 1 2 1 3 2 3 4 4 4 4 4 3 b3 3 2 6 1 1 2 1 3 3 3 4 4 4 4 5 3 3 3 6 1 1 1 1 1 1 1 2 2 3 3 6 5 3 2 1 3 2 1 2 6 5 2 2 6 1 1 6 1 1 1 2 2 1 6 1 3 2 1 6 6 1 1 3 2 1 6 1 3 3 4 4 4 b3 4 3 3 6 1 1 2 1 1 3 3 1 3 3 4 4 4 4 4 3 b3 2 3 1 1 6 1 1 6 1 1 1 2 2 3 3 6 5 3 2 1 3 2 1 2 6 5 2 6 1 1 1 6 1 1 1 2 2 1 6 1 3 2 1 6 1 6 1 6 6 5 b3 2 1 6 5 5 3 2 1 1 3 2 2 1 1 6 6 5 1 6 5 6 5 3 2 1 6 6 6 6 5 b7 6 5 3 b7 6 5 b7 1 1 2 1 1 3 1 3 4 4 4 4 4 3 3 3 2 1 1 1 2 1 6 1 3 3 3 4 4 4 3 2 2 1 1 6 1 1 6 1 1 1 2 2 3 3 6 5 3 2 1 3 2 1 2 6 3 1 1 1 6 1 1 1 2 2 1 6 1 3 2 1 6 4
rock_and_roll_music_tdc,6 5 5 3 5 6 b7 b7 6 4 5 3 5 1 b7 5 b7 6 5 3 5 6 b7 b7 6 5 3 5 1 b7 b7 6 5 3 5 6 5 5 4 4 3 2 1 5 5 4 4 3 2 1 5 5 5 5 4 4 3 2 2 2 2 2 4 4 4 4 4 4 3 3 2 1 3 4 4 5 5 5 5 5 4 4 4 4 4 5 6 6 6 6 6 5 5 b7 b7 b7 b7 b7 6 6 5 5 3 5 6 b7 b7 6 4 5 3 5 1 b7 5 b7 6 5 3 5 6 b7 b7 6 5 3 5 1 b7 b7 6 5 3 5 6 5 5 4 4 3 2 1 5 5 4 4 3 2 1 5 5 5 5 4 4 5 3 2 2 2 2 3 4 4 4 5 5 4 3 3 3 3 4 5 5 5 5 6 5 4 4 b7 6 4 6 4 6 4 6 5 5 b7 b7 b7 b7 6 6 5 6 5 5 3 5 1 b7 b7 6 4 5 3 5 1 b7 5 b7 6 5 3 5 6 b7 b7 6 5 3 5 1 b7 b7 6 5 3 5 6 5 5 4 4 3 2 1 5 5 4 4 3 2 1 5 5 5 4 4 5 3 2 2 2 2 3 4 4 4 4 4 3 3 3 3 4 5 5 5 5 5 4 4 4 4 6 6 4 6 6 5 5 b7 b7 b7 b7 6 6 5 6 5 5 3 5 1 b7 b7 6 4 5 3 5 1 b7 5 b7 6 5 3 5 6 b7 b7 6 5 3 5 1 b7 b7 6 5 3 5 6 5 5 4 4 3 2 1 5 5 4 4 3 2 1 5 5 5 5 6 4 4 3 2 2 2 2 3 4 4 4 4 4 3 3 3 3 4 5 5 5 5 5 4 4 5 6 6 6 6 6 6 6 5 b7 b7 b7 b7 6 6 6 6 5 5 3 5 6 b7 b7 6 4 5 3 5 1 b7 5 b7 6 5 3 5 6 b7 b7 6 5 3 5 1 b7 b7 6 5 3 5 6 5 5 4 4 3 2 1 5 5 4 4 3 2 1
good_vibrations_dt,1 5 5 5 1 1 3 4 7 7 6 5 4 5 6 7 4 5 6 5 4 3 4 3 2 5 5 5 5 4 3 7 1 5 4 2 4 5 6 7 4 5 6 5 4 3 4 3 2 1 7 7 6 1 2 4 5 1 7 7 6 1 2 4 5 1 7 7 6 1 2 4 5 1 7 7 6 1 2 4 5 5 4 3 7 1 5 4 3 4 5 6 7 4 5 6 5 4 1 7 7 6 1 2 4 5 1 7 7 6 1 2 4 5 1 7 7 6 1 2 4 5 1 7 7 6 1 2 4 5 2 3 3 1 4 3 1 4 3 1 4 3 1 4 3 1 4 3 1 4 3 1 4 3 1 4 3 b7 1 1 1 b7 6 b7 1 1 b7 6 2 1 b7 6 5 1 b7 6 5 4 b3 4 1 3 2 3 5 6 6 1 2 2 2 2 3 2 1 6 3 2 3 5 6 6 1 2 2 2 2 3 6 1 2 3 4 5 6 5 3 1 2 3 4 5 6 5 3 1 2 3 4 5 6 5 3
voodoo_child_dt,4 5 7 1 3 1 5 7 1 5 7 5 7 5 7 5 7 5 5 4 3 1 7 1 5 1 4 4 3 4 4 3 1 7 5 1 5 5 7 4 5 4 3 1 5 4 7 5 7 5 7 5 5 5 4 7 5 7 7 5 4 3 1 1 7 7 1 1 1 1 1 3 5 5 4 3 5 3 3 1 1 5 1 9 4 5 5 4 3 1 7 1 7 5 3 5 7 7 7 7 7 5 7 5 5 4 3 5 7 5 7 7 7 5 7 5 7 5 7 5 5 7 5 4 3 1 7 1 1 5 5 7 7 7 7 5 7 4 5 7 7 7 5 7 7 4 4 7 5 4 3 b5 3 1 7 1 1 3 3 3 7 7 1 b5 4 3 2 b5 b5 4 3 4
love_and_happiness_tdc,b3 1 5 5 4 5 b7 5 4 5 4 5 4 5 1 b3 b3 1 1 4 b3 b3 1 b7 b7 1 b3 b7 1 1 b7 1 b5 b3 4 b3 1 1 1 1 b5 4 b3 b3 b7 b5 b3 b3 1 b7 b7 1 b3 b3 b2 b3 b5 4 4 b3 b3 b2 b5 b3 4 b3 4 b3 1 1 1 1 1 1 1 b5 4 b3 b3 5 5 b7 4 b3 b3 b2 b3 b2 b3 b5 4 b3 1 b5 4 b3 b3 4 1 1 1 b5 4 b3 b3 b3 4 1 1 1 b7 1 b3 7 b3 b3 b3 1 b5 4 b3 b3 4 1 1 1 b5 4 b3 b3 4 1 1 b7 4 4 b3 b3 b7 1 b3 b2 b3 5 b3 4 1 1 1 1 b7 4 b3 b3 b3 5 5 b7 b7 4 b3 b3 b3 b3 1 b5 4 b3 b3 b5 4 b3 b3 4 1 1 1 5 5 b5 4 b3 b3 b3 4 1 1 b7 5 5 4 4 b3 b3 1 b5 4 4 1 4 b3 4 b3 b5 4 4 b3 1 1 b3 b3 4 b3 4 5 4 5 1 b3 4 4 4 4 4 4 b3 1 b7 b7 1 5 b7 5 5 b3 4 4 4 4 4 1 b7 1 1 b7 5 4 5 4 b3 1 1 1 1 1 1 1 4 b3 4 4 1 b5 4 b3 4 b3 4 4 b3 4 b3 b3 b3 2 1 b3 b5 4 4 b3 b3 b3 2 1 b3 b3 b3 4 b3 1 b3 b3 2 1 b3 5 b3 4 b3 4 b3 1 b3 b3 2 1 b3 4 b3 4 b3 b6 5 4 b3 4 1 1 b7 1 b5 b3 4 b3 1 1 1 1 b5 b3 4 b3 b7 1 b3 b3 4 b5 b3 5 b7 1 b5 b3 b3 4 b3 1 b7 b7 b7 1 b7 b7 4 5 4 4 b3 1 b3 b3 4 b3 b5 b3 1 1 1 4 b3 4 b3 b3 4 1 b3 b3 b5 b3 4 1 1 4 5 4 5 4 b3 4 b5 4 b3 1 b3 b3 b5 b3 4 1 1 b7 b7 1
earth_angel_dt,2 3 3 1 1 5 5 3 3 4 4 3 3 2 1 2 3 3 2 1 4 4 4 3 3 2 1 2 3 3 2 1 4 4 3 2 3 3 2 1 5 6 7 7 5 5 3 5 3 2 1 1 4 4 3 3 2 1 2 3 3 2 1 1 4 3 3 2 1 2 3 3 2 1 4 4 3 2 3 3 2 1 1 4 5 5 4 3 2 3 2 1 1 2 2 2 2 2 1 6 5 6 5 3 1 6 4 6 6 7 6 5 5 5 3 6 6 1 3 3 3 3 3 2 1 3 2 5 6 5 3 6 5 5 3 3 2 3 3 2 1 4 3 3 2 1 2 3 3 2 1 4 4 4 3 3 2 1 2 3 3 2 1 4 4 3 2 3 3 2 1 5 4 3 4 3 2 3 2 2 2 2 2 2 1 1 5 4 3 4 3 2 3 6 3 3 3 3 3 3 3 2 1 2 5 6 5 6 5 6 5 3 5 5 1 1 5 6 7 7 5 5 4 3 3 2 1 2 3 3 2 1 4 4 4 3 3 2 1 2 3 3 2 1 4 4 3 3 2 3 2 3 5
living_for_the_city_dt,7 1 7 1 7 1 7 1 7 2 1 7 1 7 1 1 3 5 3 2 1 2 7 1 7 1 7 1 7 1 7 2 1 7 1 7 1 1 1 3 2 2 1 2 6 6 1 2 1 1 3 3 2 1 6 6 5 6 1 6 5 3 2 1 1 7 1 7 1 7 1 7 1 7 2 1 7 1 7 1 1 3 5 3 2 1 2 7 1 7 1 7 1 7 1 7 2 1 7 7 1 7 1 1 b3 2 2 1 2 6 6 1 2 1 1 3 3 2 1 6 6 5 6 1 7 1 7 1 7 1 7 1 6 2 1 7 1 7 1 1 3 5 3 2 1 2 7 7 7 1 7 1 6 1 6 b3 2 1 2 7 1 7 1 1 b3 2 2 1 b3 6 6 1 2 1 1 3 3 2 1 6 6 5 6 1 6 5 3 3 2 1 1 1 7 1 7 1 7 1 7 1 7 2 1 7 1 7 1 1 3 5 3 2 1 2 5 7 5 1 7 1 6 1 6 2 1 7 1 7 1 1 3 2 2 1 2 6 6 1 2 1 1 3 3 2 1 6 6 5 6 1 3 3 3 4 b3 5 4 b3 4 b3 5 6 1 2 3 3 4 b3 5 4 b3 4 b3 2 1 3 3 4 b3 5 4 b3 4 4 4 3 1 3 3 4 b3 5 4 b3 4 b3 5 4 b3 5 4 3 3 4 b3 5 4 b3 4 b3 5 4 b3 5 4 3 3 4 b3 5 4 b3 4 b3 2 1 3 3 4 b3 5 4 b3 4 b3 2 1 3 3 4 b3 5 4 b3 4 4 4 3 1 3 3 4 b3 5 4 b3 4 b3 2 1 3 3 4 b3 5 4 b3 4 b3 2 1 3 3 4 b3 5 4 b3 4 b3 2 1 3 3 4 b3 5 4 b3 4 4 4 b3 3 3 4 b3 5 4 b3 4 b3 7 1 7 1 7 1 7 1 7 2 1 7 1 7 1 7 1 7 b3 b3 b3 2 1 2 7 1 7 1 7 1 1 7 1 7 2 1 7 1 7 1 6 1 b3 2 2 1 2 6 6 1 2 1 1 3 3 2 1 6 6 5 6 1 6 b3 1 7 1 7 1 7 1 7 1 7 2 1 5 1 1 7 1 7 1 b3 b3 b3 1 2 1 2 6 1 6 3 7 1 7 1 7 2 1 7 1 7 2 1 b3 2 2 1 2 6 6 1 2 1 1 6 1 6 3 3 2 1 6 6 6 3 1 3
come_as_you_are_dt,5 7 7 5 7 7 5 7 1 1 2 1 7 7 5 7 7 5 7 7 5 7 1 1 2 1 7 7 5 7 7 5 7 1 5 7 1 1 2 1 7 7 5 7 7 5 7 1 5 7 1 1 2 1 7 7 5 4 3 3 5 7 5 4 3 3 5 7 5 4 3 3 5 7 5 4 3 3 5 7 7 5 7 7 5 7 1 1 2 1 7 7 5 7 7 5 7 7 5 7 1 1 2 1 7 7 5 4 3 3 5 7 5 4 3 3 5 7 5 4 3 3 5 7 5 4 3 3 4 4 6 6 6 b5 4 3 1 3 1 4 4 b5 4 3 1 3 1 4 4 b5 4 3 1 3 1 2 0 5 4 3 3 5 7 5 4 3 3 5 7 5 4 3 3 5 7 5 4 3 3 4 4 6 6 6 5 4 3 1 3 1 4 4 b5 4 3 1 3 1 4 4 b5 4 3 1 3 1 4 4 b5 4 3 1 3 1 4 4 b5 4 3 1 3 1 5 7 5 4 3 3 5 7 5 4 3 3
i_cant_make_you_love_me_tdc,6 5 3 2 3 2 2 3 1 6 6 1 5 5 6 3 b3 2 1 2 6 5 3 3 2 2 3 1 6 6 1 5 5 6 3 b3 2 1 2 3 1 1 7 6 3 5 5 3 2 1 3 5 5 3 6 1 7 5 5 3 2 1 1 6 5 5 3 2 1 6 7 1 7 5 5 3 2 1 1 6 5 5 3 3 2 1 6 3 2 6 3 3 2 2 5 6 7 1 7 5 5 3 6 3 3 2 1 6 2 6 5 3 2 3 2 2 2 3 1 6 5 6 1 5 5 6 6 3 b3 2 1 2 6 5 3 3 2 1 2 3 1 6 5 6 1 5 5 6 1 b3 b3 2 1 1 2 5 6 7 1 1 1 6 5 1 1 7 6 3 5 3 5 3 3 2 2 1 1 7 6 3 5 5 3 2 1 3 5 5 3 6 7 1 7 5 5 3 2 1 1 6 5 5 3 2 1 6 7 1 7 5 5 3 2 1 1 6 5 5 3 3 2 1 6 3 2 6 3 3 2 2 5 6 7 1 7 5 5 3 6 3 3 2 1 6 1 2 4
mr_tambourine_man_dylan_tdc,1 7 6 5 5 3 3 3 5 3 1 1 2 3 5 3 5 6 5 4 3 2 2 2 1 1 7 6 5 5 3 3 3 5 1 1 1 2 3 6 5 3 4 3 2 2 1 2 3 2 1 1 1 1 1 1 7 6 5 3 3 3 5 5 3 1 3 6 5 3 1 1 2 3 6 5 5 6 5 4 3 3 2 1 1 1 1 7 6 5 5 5 3 3 3 5 3 1 2 3 6 5 3 1 1 2 3 6 5 5 6 5 4 3 3 2 1 1 7 6 5 5 3 3 3 5 1 1 1 2 3 5 5 5 6 5 4 3 2 2 2 1 1 7 6 5 5 3 3 3 5 3 1 1 2 3 6 5 3 4 3 2 2 1 2 3 2 1 2 1 1 1 7 6 5 5 3 3 5 5 3 2 1 2 3 6 5 3 1 1 2 3 6 5 1 1 2 3 6 5 1 1 2 3 6 5 5 6 5 4 4 3 2 1 1 1 1 1 1 1 1 7 7 6 6 6 5 3 1 1 2 3 6 5 3 3 1 1 2 3 6 5 3 1 1 7 6 1 7 6 5 5 3 3 3 5 3 1 1 2 3 5 5 5 6 5 4 3 2 2 2 1 1 7 6 5 5 3 3 3 5 3 1 1 2 3 6 5 3 4 3 2 2 1 2 3 2 1 2 1 1 1 1 1 7 6 5 3 3 3 3 3 5 3 1 1 2 3 4 5 5 1 1 1 2 3 6 5 3 1 1 2 3 5 5 6 6 5 4 3 3 2 1 1 1 1 1 7 7 7 6 6 6 5 5 3 1 1 2 3 6 5 3 1 1 1 2 3 6 5 3 3 1 1 1 2 3 5 5 3 1 1 1 2 3 5 5 6 5 4 3 3 2 1 1 7 6 5 5 5 3 3 3 3 5 3 1 1 2 3 5 5 5 6 5 4 3 2 2 2 1 1 7 6 5 5 5 3 3 3 5 3 1 1 2 3 6 5 3 3 4 3 2 2 1 2 3 1 1 3 1 1 1 1 1 7 6 5 3 3 3 6 5 3 2 1 1 2 3 6 5 3 3 1 2 3 6 5 1 1 2 3 6 5 1 1 2 3 6 5 1 1 2 3 6 5 3 1 1 7 6 5 3 3 2 1 1 1 1 1 7 7 6 6 5 5 5 5 5 3 2 1 1 2 3 6 5 3 1 1 2 3 6 5 3 1 1 2 3 6 5 3 1 1 2 3 6 5 3 1 1 1 2 3 5 5 5 6 5 4 3 3 2 1 1 7 7 6 6 6 5 5 5 5 5 3 1 1 2 3 5 5 5 6 5 4 3 2 2 2 1 1 7 6 5 5 5 3 3 3 5 3 1 1 2 3 6 5 3 4 3 2 2 1 1 2 3 1 1 9
the_times_they_are_a_changin_dt,1 1 1 1 1 1 2 2 2 3 3 5 5 5 5 5 5 4 3 2 2 2 2 1 1 1 1 1 1 1 1 2 1 2 3 1 3 5 5 5 4 3 2 2 5 5 5 5 5 5 5 5 5 5 5 5 5 3 4 5 5 4 3 2 1 1 6 1 1 1 1 1 1 2 2 2 1 1 2 3 5 5 5 5 5 4 3 2 2 2 2 1 1 1 1 1 1 1 2 1 2 3 3 3 5 5 5 5 4 3 2 2 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 4 3 2 2 1 1 1 1 1 1 1 1 1 1 2 1 2 3 5 5 5 5 5 4 3 2 2 2 2 1 1 1 1 1 1 2 2 2 1 2 3 2 3 5 5 5 4 3 2 2 5 5 5 5 5 5 5 5 5 5 5 3 4 5 5 4 3 2 2 1 6 1 1 1 1 1 1 2 2 3 3 5 5 5 5 5 4 4 3 2 2 2 2 1 1 1 1 1 1 2 2 2 1 1 2 3 3 5 5 5 5 4 3 2 2 5 5 5 5 5 5 5 5 5 5 5 5 5 3 4 5 5 4 3 2 2 1 1 1 6 1 1 1 1 1 2 2 2 2 3 5 5 5 5 4 4 4 4 3 3 1 1 1 1 1 2 2 2 2 3 5 5 5 5 5 4 3 2 2 5 5 5 5 5 5 5 5 5 5 3 4 5 5 4 3 2 1 1 8
